GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1100UGA,107944,13/11/2001,2001,2,Battle-No change of territory,Military Forces of Uganda (1986-),,1,LRA: Lord's Resistance Army,,2,12,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,2,"BBC Monitoring, 11/19/2001",UPDF battles LRA,0
500,1099UGA,107945,13/11/2001,2001,1,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Gulu,Kilak,Pabbo,Pabbo,3.00188,32.14413,1,"Xinhua, 11/14/2001",LRA rebels surrender,0
500,1101UGA,107946,15/11/2001,2001,3,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Gulu,Kilak,Lamogi,Kilak,2.84107,32.17612,2,"BBC Monitoring, 11/19/2001",LRA led by Kwoyela based in Kilak,0
500,1102UGA,107947,18/11/2001,2001,1,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Gulu,Aswa,Paicho,Paicho,2.88194,32.45056,1,"BBC Monitoring, 11/21/2001",Four LRA surrender to UPDF,0
500,1103UGA,107948,21/11/2001,2001,1,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,1,"BBC Monitoring, 11/22/2001",UPDF surrounds LRA contingent in Gulu,0
500,1104UGA,107949,24/11/2001,2001,1,Violence against civilians,Civilians (Uganda),Civilians (Sudan),7,LRA: Lord's Resistance Army,,2,27,Uganda,Moyo,West Moyo,Dufile,Bibia,3.55222,31.94861,2,"BBC Monitoring, 11/27/2001",LRA attacks civilians,0
500,1105UGA,107950,28/11/2001,2001,1,Battle-No change of territory,Bafumbira Ethnic Militia (Uganda),Bakiga Ethnic Militia (Uganda),4,Batooro Ethnic Militia (Uganda),,4,44,Uganda,Kyenjojo,Mwenge,Katooke,Katooke,0.75830,30.68250,1,"BBC Monitoring, 11/29/2001",Ethnic clashes leave two dead,2
500,1106UGA,107951,28/11/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,Karamajong Ethnic Militia (Uganda),,4,47,Uganda,Katakwi,Usuk,Magoro,Magoro Camp,1.69611,34.10472,1,"All Africa, 11/29/2001",Karamojong attack IDP camp,0
500,1107UGA,107952,30/11/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Gulu,Nwoya,Anaka,Anaka,2.59440,31.96330,1,"BBC Monitoring, 12/6/2001",LRA attacks civilians,0
500,1108UGA,107953,30/11/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Gulu,Kilak,Atiak,Atiak,3.24500,32.14110,1,"BBC Monitoring, 12/6/2001",LRA attacks civilians,0
