GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,359LBR,42946,16/12/2001,2001,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,360LBR,42947,16/12/2001,2001,1,Battle-Non-state actor overtakes territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Associated Press Newswires,,0
450,361LBR,42948,19/12/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Zorzor,Gizzima,Zorzor,7.78000,-9.43000,1,Reuters,,0
450,362LBR,42949,20/12/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Zorzor,Gizzima,Zorzor,7.78000,-9.43000,1,Reuters,,0
450,363LBR,42950,20/12/2001,2001,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,364LBR,42951,25/12/2001,2001,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Reuters,government recaptured territory from rebels in a pre-dawn attack,0
450,365LBR,42952,25/12/2001,2001,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,366LBR,42953,25/12/2001,2001,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,See Original Data,See Original Data,0
450,367LBR,42954,26/12/2001,2001,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Reuters,government recaptured territory from rebels in a pre-dawn attack,0
450,368LBR,42955,28/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Zorzor,Gizzima,Zorzor,7.78000,-9.43000,1,See Original Data,See Original Data,0
450,369LBR,42956,28/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,370LBR,42957,28/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,See Original Data,See Original Data,0
450,371LBR,42958,29/12/2001,2001,1,Battle-Non-state actor overtakes territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,Reuters,,0
